# blastn
# Iteration: 0
# Query: 
# RID: W6PMW7U1013
# Database: nt
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 6653 hits found
Query_59683	MW280548.1	100.000	870	0	0	15786	16655	28462	29331	0.0	1607
Query_59683	MW280548.1	100.000	741	0	0	3718	4458	18561	19301	0.0	1369
Query_59683	MW280548.1	99.696	657	2	0	7547	8203	65	721	0.0	1203
Query_59683	MW280548.1	99.362	627	2	2	26126	26751	23978	24603	0.0	1134
Query_59683	MW280548.1	100.000	587	0	0	23890	24476	13360	13946	0.0	1085
Query_59683	MW280548.1	99.622	529	2	0	12224	12752	2743	3271	0.0	966
Query_59683	MW280548.1	100.000	479	0	0	5858	6336	11433	11911	0.0	885
Query_59683	MW280548.1	100.000	463	0	0	9581	10043	22572	23034	0.0	856
Query_59683	MW280548.1	100.000	455	0	0	19261	19715	6703	7157	0.0	841
Query_59683	MW280548.1	99.781	456	0	1	21444	21898	3971	4426	0.0	835
Query_59683	MW280548.1	100.000	440	0	0	12736	13175	14836	15275	0.0	813
Query_59683	MW280548.1	100.000	430	0	0	22296	22725	24686	25115	0.0	795
Query_59683	MW280548.1	99.536	431	2	0	2371	2801	22152	22582	0.0	785
Query_59683	MW280548.1	99.765	426	1	0	16644	17069	17101	17526	0.0	782
Query_59683	MW280548.1	99.762	420	0	1	9028	9446	12680	13099	0.0	769
Query_59683	MW280548.1	97.831	415	9	0	26878	27292	29489	29903	0.0	734
Query_59683	MW280548.1	100.000	369	0	0	2869	3237	25658	26026	0.0	682
Query_59683	MW280548.1	100.000	345	0	0	13770	14114	8704	9048	6.96e-177	638
Query_59683	MW280548.1	100.000	345	0	0	25798	26142	15602	15946	6.96e-177	638
Query_59683	MW280548.1	99.708	343	1	0	18112	18454	27924	28266	4.19e-174	628
Query_59683	MW280548.1	100.000	330	0	0	19820	20149	6200	6529	1.52e-168	610
Query_59683	MW280548.1	100.000	329	0	0	20142	20470	26732	27060	5.46e-168	608
Query_59683	MW280548.1	99.390	328	1	1	18471	18797	710	1037	1.53e-163	593
Query_59683	MW280548.1	100.000	320	0	0	15107	15426	12227	12546	5.50e-163	592
Query_59683	MW280548.1	100.000	317	0	0	18784	19100	20402	20718	2.56e-161	586
Query_59683	MW280548.1	99.681	313	0	1	1825	2137	1353	1664	7.16e-157	571
Query_59683	MW280548.1	100.000	309	0	0	11249	11557	18232	18540	7.16e-157	571
Query_59683	MW280548.1	99.639	277	1	0	1219	1495	9787	10063	2.05e-137	507
Query_59683	MW280548.1	100.000	272	0	0	17357	17628	1092	1363	2.65e-136	503
Query_59683	MW280548.1	100.000	271	0	0	3399	3669	2035	2305	9.53e-136	501
Query_59683	MW280548.1	100.000	270	0	0	24465	24734	15264	15533	3.43e-135	499
Query_59683	MW280548.1	99.628	269	0	1	2123	2391	14040	14307	2.06e-132	490
Query_59683	MW280548.1	99.624	266	0	1	8192	8456	27411	27676	9.60e-131	484
Query_59683	MW280548.1	100.000	257	0	0	6677	6933	1791	2047	5.78e-128	475
Query_59683	MW280548.1	100.000	257	0	0	17618	17874	16856	17112	5.78e-128	475
Query_59683	MW280548.1	100.000	252	0	0	21943	22194	16559	16810	3.48e-125	466
Query_59683	MW280548.1	100.000	247	0	0	22829	23075	26468	26714	2.09e-122	457
Query_59683	MW280548.1	100.000	242	0	0	108	349	4858	5099	1.26e-119	448
Query_59683	MW280548.1	98.406	251	3	1	23443	23692	25410	25660	2.11e-117	440
